,Lower Super Output Area,Names,2011 Census Population;Age Structure;All Ages,Population Density;Area (Hectares);,Country of Birth;% Not United Kingdom;2011,Household Language;% of households where no people aged 16 or over have English as a main language;2011,House Prices;Median Price (?;2014,House Prices;Sales;2014,Economic Activity;Unemployment Rate;2011,Qualifications;% No qualifications;2011,Public Transport Accessibility Levels (2014);Average Score;,Child Benefit;Total Number of Children;2013,"Household Income, 2011/12;Median Annual Household Income estimate (?",theft_number,theft_rate
78,E01000968,Camden 016E,1505,8.2,40.1,13.4,731000,37,3.8,8.4,6.3,160,46075,15.0,99.66777408637873
79,E01000960,Camden 017A,1774,11.4,53.4,22.9,585000,21,6.7,8.9,7.0,275,41451,24.0,135.28748590755353
80,E01000961,Camden 017B,1591,11.9,48.8,26.5,632500,28,10.2,16.7,6.8,345,30385,22.0,138.27781269641736
81,E01000963,Camden 017C,1923,19.3,68.2,32.7,743750,28,4.2,11.8,6.3,135,52918,186.0,967.2386895475819
82,E01000967,Camden 017D,1409,37.2,46.6,11.5,1175000,22,3.5,10.7,3.3,145,60568,12.0,85.16678495386799
83,E01000857,Camden 018A,1447,8.1,37.3,9.5,741000,21,3.0,9.9,3.5,210,47797,13.0,89.84105044920524
84,E01000858,Camden 018B,1861,21.8,38.2,17.9,645000,16,9.7,21.2,5.9,455,27282,183.0,983.3422890918861
85,E01000859,Camden 018C,1586,9.7,35.4,8.7,1000000,29,4.0,5.4,3.6,165,61120,35.0,220.68095838587644
86,E01000860,Camden 018D,1307,20.6,37.3,14.2,1920000,11,4.5,16.1,3.0,105,44797,19.0,145.37107880642694
87,E01000862,Camden 018E,1712,17.0,37.7,10.9,980000,39,2.9,4.3,5.2,170,62468,182.0,1063.0841121495328
88,E01000856,Camden 019A,1645,11.9,41.0,19.4,783750,38,11.9,17.4,7.2,320,27044,73.0,443.76899696048633
89,E01000861,Camden 019B,1574,11.4,39.9,13.3,679250,20,7.4,11.1,7.4,175,30135,152.0,965.69250317662
90,E01000957,Camden 019C,1729,11.7,44.6,23.5,431500,10,8.8,15.5,4.6,335,28624,25.0,144.59224985540774
91,E01000958,Camden 019D,2264,24.2,43.6,17.1,375000,7,8.4,15.6,7.0,500,27133,71.0,313.6042402826855
92,E01000959,Camden 019E,1670,7.3,38.4,22.8,525000,21,9.3,27.5,7.3,360,22347,26.0,155.688622754491
93,E01000929,Camden 020A,1675,9.8,47.3,26.6,430000,7,12.2,22.1,4.8,460,26403,8.0,47.76119402985075
94,E01000930,Camden 020B,1910,11.6,53.5,27.0,305000,32,9.3,22.2,6.7,385,24061,150.0,785.3403141361257
95,E01000933,Camden 020C,1671,10.9,44.0,14.6,607500,28,6.5,9.7,6.7,200,37278,79.0,472.77079593058045
96,E01000934,Camden 020D,1619,8.7,52.8,27.0,390000,17,11.3,20.8,4.4,390,25033,12.0,74.11982705373687
97,E01000935,Camden 020E,1415,6.2,45.4,27.1,442300,18,10.4,18.6,3.8,525,25247,19.0,134.2756183745583
98,E01000863,Camden 021A,1481,16.1,43.5,16.9,705000,15,6.5,8.7,7.2,150,40815,775.0,5232.950708980418
99,E01000946,Camden 021B,1516,48.9,48.2,20.0,999000,33,4.8,13.2,6.4,185,38675,133.0,877.3087071240105
100,E01000947,Camden 021C,1954,15.6,47.5,19.3,655000,12,7.9,13.5,7.1,215,29657,361.0,1847.4923234390994
101,E01000948,Camden 021D,1736,19.7,40.0,14.5,678000,15,4.6,14.7,6.5,230,40748,42.0,241.93548387096774
102,E01000952,Camden 022A,1729,8.7,40.3,21.2,494100,7,10.1,24.1,7.4,400,24012,18.0,104.10641989589358
103,E01000953,Camden 022B,1643,60.3,45.2,24.4,476660,17,9.1,26.8,7.2,550,23027,1260.0,7668.8983566646375
104,E01000954,Camden 022C,1656,5.6,38.9,27.1,364975,4,13.4,30.5,7.4,570,21566,23.0,138.88888888888889
105,E01000955,Camden 022D,1595,6.4,39.0,21.0,450000,2,10.4,27.7,7.9,335,22567,53.0,332.28840125391855
106,E01000956,Camden 022E,1532,15.9,49.0,31.3,467500,12,10.9,17.8,8.0,405,25464,364.0,2375.9791122715405
107,E01000944,Camden 023A,1899,5.8,48.0,17.7,353500,6,11.8,17.8,6.6,355,23637,10.0,52.6592943654555
108,E01000945,Camden 023B,1821,27.1,50.6,25.7,650000,5,6.8,11.3,8.0,270,27236,851.0,4673.256452498627
109,E01000949,Camden 023C,1633,6.2,34.4,13.8,319975,4,8.5,22.6,5.2,350,29196,7.0,42.86589099816289
110,E01000950,Camden 023D,1431,6.8,49.3,30.7,302500,4,13.4,26.9,7.3,380,20176,21.0,146.7505241090147
111,E01000951,Camden 023E,1538,4.8,42.6,21.7,378346,6,13.5,24.8,7.2,415,21727,7.0,45.51365409622887
112,E01000936,Camden 024A,1839,8.9,49.5,24.8,425000,11,10.2,11.4,6.9,210,28382,55.0,299.07558455682437
113,E01000938,Camden 024B,1752,8.2,51.5,31.1,655000,11,10.5,11.3,8.0,210,26281,251.0,1432.648401826484
114,E01000939,Camden 024C,1223,7.9,47.7,29.1,465000,5,13.7,26.1,8.0,295,23517,239.0,1954.2109566639413
115,E01000940,Camden 024D,1130,4.9,54.1,27.0,575000,7,12.2,17.3,8.0,170,28095,15.0,132.7433628318584
116,E01000853,Camden 025A,1631,5.9,44.0,21.1,601700,7,13.4,22.0,8.0,210,28846,228.0,1397.9153893316984
117,E01000937,Camden 025B,1504,12.6,59.6,26.1,747500,56,7.3,7.1,7.6,105,28092,64.0,425.531914893617
118,E01000941,Camden 025C,1230,4.3,43.5,21.7,569200,3,12.1,24.3,8.0,290,23407,48.0,390.2439024390244
119,E01000942,Camden 025D,2111,7.3,48.7,20.0,487684,12,4.3,4.2,8.0,105,32028,108.0,511.60587399336805
