,Lower Super Output Area,Names,2011 Census Population;Age Structure;All Ages,Population Density;Area (Hectares);,Country of Birth;% Not United Kingdom;2011,Household Language;% of households where no people aged 16 or over have English as a main language;2011,House Prices;Median Price (?;2014,House Prices;Sales;2014,Economic Activity;Unemployment Rate;2011,Qualifications;% No qualifications;2011,Public Transport Accessibility Levels (2014);Average Score;,Child Benefit;Total Number of Children;2013,"Household Income, 2011/12;Median Annual Household Income estimate (?",theft_number,theft_rate
3914,E01002490,Hillingdon 030D,2082,33.5,45.9,24.7,281500,12,7.1,19.1,3.4,610,26867,27.0,129.6829971181556
3915,E01002492,Hillingdon 030E,1647,25.3,47.1,23.6,270000,4,7.2,20.4,2.3,470,26803,7.0,42.50151791135397
3916,E01002444,Hillingdon 031A,1833,1579.7,45.2,14.6,263750,14,7.1,19.2,1.9,330,29103,1125.0,6137.4795417348605
3917,E01002446,Hillingdon 031B,1612,195.3,30.5,12.5,307500,6,5.9,21.7,2.0,440,29629,72.0,446.65012406947886
3918,E01002447,Hillingdon 031C,1697,188.3,43.2,21.3,250000,7,6.5,17.4,2.9,455,26709,118.0,695.344725987036
3919,E01002527,Hillingdon 031D,1521,87.6,24.5,9.6,235000,28,6.9,29.2,1.8,350,27721,20.0,131.49243918474687
3920,E01002443,Hillingdon 032A,1625,260.2,56.0,30.3,173000,11,6.7,12.8,3.0,380,28901,59.0,363.07692307692304
3921,E01002448,Hillingdon 032B,1957,71.7,45.2,20.1,184000,20,7.3,22.1,3.1,430,26744,24.0,122.63668880940214
3922,E01002449,Hillingdon 032C,1772,38.1,55.3,27.6,188975,26,5.6,15.3,2.9,450,26143,42.0,237.02031602708806
3923,E01002491,Hillingdon 032D,1604,19.1,43.6,21.4,280000,12,9.2,25.8,2.3,505,24872,9.0,56.109725685785534
3924,E01002493,Hillingdon 032E,1868,17.7,41.8,27.6,244950,10,8.3,25.5,2.3,670,23872,6.0,32.11991434689507
3925,E01002496,Hillingdon 033A,1802,58.7,24.5,12.8,247000,37,6.7,20.9,1.6,425,30937,41.0,227.52497225305214
3926,E01002497,Hillingdon 033B,1832,67.2,28.7,10.4,301000,45,6.8,20.3,3.5,430,30475,83.0,453.056768558952
3927,E01002498,Hillingdon 033C,1416,39.6,20.3,4.3,446000,11,4.0,18.9,2.6,265,39176,8.0,56.497175141242934
3928,E01002499,Hillingdon 033D,1705,228.5,26.0,8.8,300000,29,7.0,19.2,2.7,1320,33340,12.0,70.38123167155425
3929,E01032577,Hillingdon 033E,1683,36.1,19.7,8.3,406250,18,4.9,18.4,1.5,425,36670,3.0,17.825311942959
3930,E01002569,Hounslow 001A,1764,20.6,32.0,8.6,875000,35,4.1,9.2,2.8,180,56823,12.0,68.02721088435374
3931,E01002570,Hounslow 001B,1682,14.5,38.5,13.7,660000,13,5.4,9.1,5.1,180,51585,86.0,511.2960760998811
3932,E01002573,Hounslow 001C,1650,18.4,32.0,9.0,1823000,25,4.3,5.3,4.0,200,63185,48.0,290.90909090909093
3933,E01002574,Hounslow 001D,1537,16.3,32.6,9.9,1715000,25,2.7,7.5,4.6,155,56203,49.0,318.8028627195836
3934,E01002575,Hounslow 001E,1745,22.7,36.4,10.9,926550,30,3.6,6.5,4.3,215,60700,16.0,91.69054441260744
3935,E01002562,Hounslow 003A,1379,95.3,39.1,17.0,460000,21,7.9,24.7,2.0,295,28851,25.0,181.29079042784625
3936,E01002564,Hounslow 003B,1888,24.0,38.0,20.0,340000,14,7.6,24.5,2.8,490,28023,37.0,195.97457627118644
3937,E01002566,Hounslow 003C,2123,58.8,40.9,22.5,365000,83,8.0,18.9,3.6,530,27047,61.0,287.329251059821
3938,E01002568,Hounslow 003D,2759,19.9,38.3,17.9,364500,124,10.3,20.9,3.3,785,25952,20.0,72.49003262051468
3939,E01033081,Hounslow 003F,1242,9.9,38.6,19.1,410000,122,6.2,11.0,3.6,200,36522,26.0,209.33977455716587
3940,E01033082,Hounslow 003G,1223,24.4,37.9,13.1,315000,27,5.8,16.0,2.1,245,33775,13.0,106.2959934587081
3941,E01002620,Hounslow 004A,1851,30.4,53.8,28.4,235000,11,9.8,19.4,2.8,555,25861,50.0,270.12425715829283
3942,E01002625,Hounslow 004B,1681,19.6,52.6,27.0,390000,8,6.9,17.6,1.8,370,28090,10.0,59.4883997620464
3943,E01002626,Hounslow 004C,1626,35.0,53.9,31.0,360000,8,8.0,17.1,2.1,370,28708,62.0,381.30381303813033
3944,E01002627,Hounslow 004D,1662,12.5,58.2,37.9,199950,37,11.3,18.6,1.8,460,25052,6.0,36.101083032490976
3945,E01002631,Hounslow 004E,1628,20.7,52.9,30.5,250000,17,6.3,17.2,1.5,470,27491,9.0,55.28255528255528
3946,E01002633,Hounslow 005A,1643,98.9,43.3,23.8,264000,10,10.0,26.7,2.5,575,21339,41.0,249.54351795496044
3947,E01002634,Hounslow 005B,1712,24.2,42.6,30.0,212500,7,13.1,25.2,2.1,600,20398,29.0,169.39252336448595
3948,E01002637,Hounslow 005C,1659,69.4,59.4,41.6,264950,6,11.1,24.5,2.7,530,21891,26.0,156.7209162145871
3949,E01002638,Hounslow 005D,1823,79.8,49.2,31.6,210500,5,9.9,26.7,2.0,575,24455,25.0,137.13658804168952
3950,E01002563,Hounslow 006A,1642,50.4,42.4,14.3,600000,15,5.2,14.0,3.1,250,39958,30.0,182.70401948842874
3951,E01002565,Hounslow 006B,2829,45.1,37.4,17.1,310000,38,3.5,9.4,3.3,385,35705,31.0,109.57935666313186
3952,E01002567,Hounslow 006C,1733,21.9,32.4,12.7,390000,40,4.9,12.9,4.1,275,41498,24.0,138.48817080207732
3953,E01002684,Hounslow 006D,2368,39.7,38.8,17.2,385000,111,6.0,16.4,3.9,460,37029,61.0,257.60135135135135
3954,E01002686,Hounslow 006E,1765,98.6,31.2,14.2,350000,11,9.1,29.0,3.4,455,25580,26.0,147.3087818696884
3955,E01002571,Hounslow 007A,1325,19.9,31.0,10.0,762500,32,3.7,5.3,2.0,155,63950,11.0,83.01886792452831
3956,E01002572,Hounslow 007B,1643,91.0,34.6,15.4,390763,14,9.5,21.6,2.3,390,28005,43.0,261.7163724893487
3957,E01002577,Hounslow 007C,1635,35.5,34.5,12.6,750000,29,2.9,7.0,2.8,220,55498,19.0,116.20795107033639
3958,E01002578,Hounslow 007D,1502,50.5,28.6,8.3,1225000,23,4.4,9.7,3.0,210,59425,20.0,133.15579227696404
3959,E01002689,Hounslow 007E,1585,13.9,32.9,10.1,1100000,19,6.1,15.9,3.5,250,47170,9.0,56.782334384858046
3960,E01002690,Hounslow 007F,1470,18.0,33.5,9.6,1242500,22,4.2,7.5,3.7,175,63478,8.0,54.42176870748299
3961,E01002576,Hounslow 008A,1746,18.6,26.8,9.3,500000,24,5.8,13.4,2.8,340,42197,13.0,74.45589919816723
3962,E01002579,Hounslow 008B,1746,40.4,28.9,7.5,592500,34,3.4,7.4,2.8,185,56349,18.0,103.09278350515464
3963,E01002580,Hounslow 008C,1386,11.8,37.9,15.7,600000,17,4.8,12.5,4.1,210,41423,40.0,288.6002886002886
3964,E01002581,Hounslow 008D,1860,18.4,32.2,9.0,440000,34,3.3,7.4,3.0,230,51842,15.0,80.64516129032258
3965,E01002582,Hounslow 008E,1668,17.1,24.3,6.8,835000,44,3.2,8.3,1.6,250,58511,11.0,65.947242206235
3966,E01002675,Hounslow 009A,2456,30.1,37.7,13.6,327475,54,5.0,10.3,3.1,510,43710,15.0,61.074918566775246
3967,E01002678,Hounslow 009B,1855,369.4,45.9,17.8,382500,18,4.4,11.4,1.8,375,43096,137.0,738.544474393531
3968,E01002679,Hounslow 009C,1781,46.3,48.8,21.5,391000,22,4.1,11.5,2.9,340,39855,21.0,117.91128579449746
3969,E01002680,Hounslow 009D,1952,40.9,46.1,17.4,510000,31,7.9,12.3,3.0,305,40955,25.0,128.0737704918033
3970,E01002619,Hounslow 010A,1959,23.7,57.4,29.5,302750,14,8.2,18.0,2.7,435,28509,7.0,35.732516590096985
3971,E01002622,Hounslow 010B,1731,20.6,55.6,25.1,359950,10,6.7,13.9,3.1,400,29894,37.0,213.74927787406125
3972,E01002632,Hounslow 010C,1832,36.7,49.7,23.4,344250,12,5.5,16.1,2.8,425,29905,33.0,180.13100436681222
3973,E01002635,Hounslow 010D,1753,53.0,56.5,28.2,242500,4,8.0,17.1,2.6,440,29243,12.0,68.45407872219053
3974,E01002636,Hounslow 010E,2016,21.0,56.0,29.2,322000,17,8.7,18.3,1.8,470,27568,7.0,34.72222222222222
3975,E01002618,Hounslow 011A,1758,23.1,52.7,26.4,368000,12,4.8,15.9,2.6,405,36566,8.0,45.50625711035267
3976,E01002621,Hounslow 011B,1817,28.4,53.1,27.9,385000,13,7.9,19.3,2.0,440,27946,20.0,110.0715465052284
3977,E01002623,Hounslow 011C,1667,20.1,53.1,29.8,417000,9,7.8,16.2,3.4,410,27295,11.0,65.9868026394721
3978,E01002628,Hounslow 011D,1940,35.5,57.4,28.4,285000,17,5.6,15.0,2.7,435,32010,15.0,77.31958762886599
3979,E01002629,Hounslow 011E,2087,53.7,56.4,30.1,237000,11,6.8,15.1,3.0,495,30239,37.0,177.2879731672257
3980,E01002630,Hounslow 012A,1695,23.5,63.9,29.9,242475,14,6.0,13.2,3.2,335,32756,41.0,241.88790560471975
3981,E01002639,Hounslow 012B,1703,19.1,65.0,34.6,380000,15,5.7,11.8,3.6,345,33370,12.0,70.46388725778039
3982,E01002640,Hounslow 012C,1800,22.4,71.4,33.9,271000,11,5.6,10.2,4.5,315,31744,50.0,277.77777777777777
3983,E01002674,Hounslow 012D,1707,28.5,52.4,22.6,358000,22,3.5,9.3,2.1,365,44348,8.0,46.86584651435267
3984,E01002676,Hounslow 012E,1715,95.3,53.3,17.4,580000,11,5.7,8.2,2.4,230,48181,22.0,128.2798833819242
3985,E01002583,Hounslow 013A,1706,40.4,58.0,32.8,300000,9,6.8,16.6,3.1,465,28907,17.0,99.6483001172333
3986,E01002584,Hounslow 013B,1691,32.8,59.8,36.1,269975,12,7.4,15.4,3.3,415,26090,29.0,171.4961561206387
3987,E01002585,Hounslow 013C,1651,20.9,55.9,28.9,264500,6,6.2,23.4,2.8,515,24726,13.0,78.74015748031496
3988,E01002586,Hounslow 013D,1650,42.7,64.1,31.1,260000,2,7.1,14.0,2.2,345,27626,3.0,18.181818181818183
3989,E01002589,Hounslow 013E,1982,98.7,54.7,32.6,245000,4,8.3,22.1,1.4,695,25124,55.0,277.49747729566093
3990,E01002668,Hounslow 014A,2014,34.3,35.8,13.3,315000,55,5.4,14.0,3.0,360,37716,29.0,143.99205561072492
3991,E01002669,Hounslow 014B,1782,30.9,30.0,14.9,272475,26,8.2,24.8,2.1,565,25786,12.0,67.34006734006734
3992,E01002681,Hounslow 014C,2063,31.1,39.7,19.0,310000,25,6.2,13.9,3.7,615,29297,46.0,222.97624818225884
3993,E01002682,Hounslow 014D,2325,43.3,35.5,15.7,306000,40,4.9,18.2,3.9,460,33423,28.0,120.43010752688173
3994,E01002683,Hounslow 014E,2568,25.1,35.6,13.5,402500,51,4.2,11.1,4.0,575,40823,20.0,77.88161993769471
3995,E01002642,Hounslow 015A,2005,26.4,68.4,37.1,193000,11,6.4,13.3,6.2,470,30094,133.0,663.3416458852869
3996,E01002643,Hounslow 015B,2289,32.4,47.3,19.5,250000,21,6.2,17.8,4.3,475,29469,17.0,74.26823940585408
3997,E01002645,Hounslow 015C,2054,25.9,60.4,30.9,270000,13,8.2,15.0,5.7,450,27546,26.0,126.58227848101265
3998,E01002658,Hounslow 015D,1333,17.5,25.9,9.6,442475,18,4.1,10.8,2.7,265,45955,4.0,30.00750187546887
3999,E01002677,Hounslow 015E,1565,23.3,41.0,19.9,274475,24,6.7,12.3,4.0,320,35996,29.0,185.3035143769968
4000,E01002587,Hounslow 016A,1895,22.5,63.6,34.2,228000,11,7.1,19.6,3.0,435,26038,14.0,73.87862796833772
4001,E01002588,Hounslow 016B,1755,14.2,37.5,23.8,195000,32,12.6,30.7,1.1,585,20383,25.0,142.45014245014247
4002,E01002660,Hounslow 016C,1758,26.8,64.5,34.7,303750,10,6.3,15.3,4.3,370,28244,17.0,96.70079635949944
4003,E01002661,Hounslow 016D,1849,28.0,69.4,39.6,344950,9,6.1,13.3,3.7,345,28168,35.0,189.29150892374255
4004,E01002665,Hounslow 016E,1618,13.9,60.1,35.1,262500,8,5.9,21.4,3.1,385,24606,19.0,117.42892459826948
4005,E01002624,Hounslow 017A,1505,22.3,57.0,27.9,297500,6,7.5,18.3,3.9,395,26949,69.0,458.4717607973422
4006,E01002646,Hounslow 017B,2016,14.4,56.2,33.6,217500,15,9.8,20.6,3.5,575,24410,14.0,69.44444444444444
4007,E01002662,Hounslow 017C,1999,24.5,68.6,32.2,350000,13,5.4,10.9,4.3,355,32650,85.0,425.2126063031516
4008,E01002663,Hounslow 017D,2074,17.3,58.9,29.0,222475,10,6.9,19.9,4.1,425,25700,6.0,28.929604628736744
4009,E01002664,Hounslow 017E,1802,26.1,61.9,33.1,249950,18,6.9,16.5,4.5,785,27963,119.0,660.377358490566
4010,E01002641,Hounslow 018A,1932,20.4,63.3,32.8,200000,10,7.1,15.5,4.1,365,28343,84.0,434.7826086956522
4011,E01002648,Hounslow 018C,2689,23.2,64.4,36.7,277500,20,7.0,14.5,4.8,655,28483,37.0,137.5976199330606
4012,E01002649,Hounslow 018D,1830,20.5,59.9,34.1,293975,12,4.9,12.4,4.5,405,27792,29.0,158.46994535519124
4013,E01002657,Hounslow 018E,1876,23.3,36.9,14.8,380000,17,4.7,13.4,3.0,410,39314,8.0,42.643923240938165
4014,E01033083,Hounslow 018F,1664,13.6,82.3,45.3,239975,28,4.9,4.7,5.9,215,42279,371.0,2229.5673076923076
4015,E01033084,Hounslow 018G,1722,13.5,63.9,36.7,219975,16,8.7,11.1,6.7,390,26678,67.0,389.08246225319397
4016,E01002653,Hounslow 019A,1813,21.5,50.9,21.6,359250,6,5.5,16.2,2.2,365,32917,1.0,5.515719801434088
4017,E01002654,Hounslow 019B,1785,42.6,40.8,20.0,390000,17,6.0,14.8,2.1,415,35241,7.0,39.21568627450981
4018,E01002655,Hounslow 019C,1885,25.4,42.3,19.1,303000,14,5.9,15.3,3.0,395,37098,11.0,58.35543766578249
4019,E01002656,Hounslow 019D,1318,20.7,28.5,8.8,367475,18,5.6,18.6,2.0,275,36866,5.0,37.93626707132018
4020,E01002659,Hounslow 019E,1398,28.4,39.8,15.7,375000,17,5.6,22.1,2.3,295,32038,3.0,21.459227467811157
4021,E01002667,Hounslow 020A,1573,31.3,29.6,10.6,481250,18,6.0,17.9,2.6,310,36499,22.0,139.86013986013987
4022,E01002670,Hounslow 020B,1737,44.3,33.5,11.9,293000,33,6.4,16.1,2.6,330,33272,13.0,74.84168105929764
4023,E01002671,Hounslow 020C,1659,24.0,22.0,7.2,512500,22,5.0,20.1,2.4,370,37866,5.0,30.138637733574445
4024,E01002672,Hounslow 020D,1578,26.4,42.5,20.6,249975,26,7.9,20.9,2.0,405,26462,61.0,386.5652724968314
4025,E01002673,Hounslow 020E,1634,5.5,43.6,28.0,215000,9,9.6,27.9,2.0,590,19867,11.0,67.31946144430844
4026,E01002647,Hounslow 021A,2213,17.5,50.9,29.0,249475,22,10.2,17.4,2.1,670,27727,14.0,63.262539539087214
4027,E01002650,Hounslow 021B,2436,170.7,55.3,35.7,199500,26,6.6,15.0,2.0,710,27781,44.0,180.623973727422
4028,E01002651,Hounslow 021C,1778,13.1,63.6,36.2,290000,13,5.3,14.4,2.9,410,28729,17.0,95.61304836895388
4029,E01002652,Hounslow 021D,1765,19.3,55.5,27.5,360000,13,7.8,16.4,2.5,390,28827,6.0,33.994334277620396
4030,E01002666,Hounslow 021E,1558,25.4,53.0,33.9,250000,3,8.4,18.6,3.0,320,26350,10.0,64.18485237483954
4031,E01002555,Hounslow 022A,1917,71.8,39.5,18.1,248975,24,5.0,20.4,2.2,495,29805,46.0,239.95826812728222
4032,E01002556,Hounslow 022B,1681,20.1,30.2,12.7,265000,23,5.5,22.8,2.0,460,29068,10.0,59.4883997620464
4033,E01002590,Hounslow 022C,1839,35.2,33.1,17.8,223000,17,5.2,24.8,2.4,450,28472,16.0,87.00380641653072
4034,E01002592,Hounslow 022D,1999,172.3,37.2,17.9,197975,24,5.8,26.3,3.5,520,26258,72.0,360.1800900450225
4035,E01002595,Hounslow 022E,1924,27.1,32.6,14.2,282500,17,6.5,29.0,2.6,560,26445,13.0,67.56756756756756
4036,E01002557,Hounslow 023A,1785,33.8,29.3,12.9,220000,31,5.9,25.2,2.6,405,27259,16.0,89.63585434173669
4037,E01002558,Hounslow 023B,1945,23.5,30.6,16.3,230500,19,9.2,25.1,2.7,550,26210,14.0,71.97943444730078
4038,E01002559,Hounslow 023C,2279,237.8,32.7,18.6,172950,32,5.6,20.8,2.2,680,27571,45.0,197.45502413339184
4039,E01002560,Hounslow 023D,1715,33.3,27.6,10.7,285000,20,7.7,31.7,1.8,415,26043,21.0,122.44897959183673
4040,E01002561,Hounslow 023E,1379,24.4,24.4,16.2,178995,19,8.3,22.4,1.0,495,23928,5.0,36.25815808556926
4041,E01002591,Hounslow 024A,1729,32.6,27.2,12.0,277750,18,5.4,28.9,1.5,445,27013,7.0,40.48582995951417
4042,E01002593,Hounslow 024B,2118,44.5,40.8,18.8,244975,14,5.1,27.0,4.1,455,29040,19.0,89.70727101038715
4043,E01002594,Hounslow 024C,1954,26.7,41.6,18.5,297000,17,7.4,20.4,3.2,550,28311,22.0,112.58955987717502
4044,E01002611,Hounslow 024D,1785,86.2,26.6,13.1,312500,20,6.1,23.2,2.8,450,29551,8.0,44.817927170868344
4045,E01002612,Hounslow 024E,1670,33.2,32.5,15.5,201500,17,6.7,24.2,4.5,420,27311,73.0,437.12574850299404
4046,E01002613,Hounslow 024F,1761,22.4,30.7,15.8,231475,18,6.5,24.8,2.9,435,28593,6.0,34.07155025553663
4047,E01002598,Hounslow 025B,1840,22.5,28.4,15.6,250000,15,8.2,26.2,3.1,480,25054,51.0,277.17391304347825
4048,E01002599,Hounslow 025C,1607,18.3,26.5,15.5,257500,14,7.3,23.5,1.8,485,26368,13.0,80.89607965152459
4049,E01002600,Hounslow 025D,1524,15.9,24.5,14.0,272000,14,5.9,31.8,2.0,430,26120,,
4050,E01002603,Hounslow 025E,1924,22.3,35.3,20.1,238500,21,7.0,20.1,1.6,590,29124,7.0,36.38253638253639
4051,E01033000,Hounslow 025F,1785,8.4,33.2,18.4,250000,5,9.2,25.1,3.9,615,23741,22.0,123.24929971988796
4052,E01033030,Hounslow 025G,1723,7.2,60.0,29.6,191100,60,6.0,6.5,4.9,315,36032,33.0,191.52640742890307
4053,E01002604,Hounslow 026A,1733,30.0,34.5,17.7,202000,4,12.7,27.1,1.9,570,23281,10.0,57.70340450086555
4054,E01002605,Hounslow 026B,1847,32.8,31.7,14.2,185000,19,7.8,25.8,2.6,500,25273,15.0,81.21277747698971
4055,E01002606,Hounslow 026C,1641,20.6,27.8,15.1,307500,10,12.0,29.4,2.3,470,22144,13.0,79.21998781230957
4056,E01002607,Hounslow 026D,1923,34.4,34.8,19.4,250000,31,5.6,23.0,2.8,585,27643,36.0,187.20748829953197
4057,E01002615,Hounslow 026E,1470,95.0,31.7,14.7,280000,5,7.1,28.4,1.9,405,23627,29.0,197.27891156462584
4058,E01002596,Hounslow 027A,1996,46.1,33.6,18.8,151000,41,5.5,16.2,1.3,540,28092,12.0,60.120240480961925
4059,E01002601,Hounslow 027B,1665,156.6,30.6,16.2,235000,43,4.5,17.1,1.6,470,30037,14.0,84.08408408408408
4060,E01002602,Hounslow 027C,1477,21.0,14.6,4.8,275250,22,4.4,20.7,1.6,355,34496,4.0,27.08192281651997
4061,E01002614,Hounslow 027D,1746,59.6,36.7,16.5,250000,33,5.7,19.9,2.0,440,30010,28.0,160.36655211912944
4062,E01002616,Hounslow 027E,1382,22.7,21.7,9.3,282500,13,5.9,25.9,2.4,305,29989,1.0,7.23589001447178
4063,E01002608,Hounslow 028A,1717,34.6,26.4,13.2,299975,22,8.3,28.6,3.0,450,26366,27.0,157.251019219569
4064,E01002609,Hounslow 028B,1730,21.3,22.5,7.6,302500,24,6.1,22.8,2.9,380,31576,9.0,52.02312138728324
4065,E01002610,Hounslow 028C,1564,151.4,23.1,11.9,250000,13,7.9,29.0,2.7,430,26698,8.0,51.150895140664964
4066,E01002617,Hounslow 028D,1594,45.1,17.9,7.6,249000,29,3.9,18.3,1.3,330,37961,17.0,106.64993726474279
4067,E01002687,Hounslow 029A,1707,17.7,38.7,13.9,568000,44,4.4,6.2,4.4,180,51707,23.0,134.73930872876392
4068,E01002691,Hounslow 029B,1596,51.0,55.6,20.6,635000,17,4.2,9.7,4.0,195,41847,35.0,219.29824561403507
4069,E01002692,Hounslow 029C,1782,32.6,40.5,17.8,615000,20,5.4,11.3,4.7,235,43565,56.0,314.25364758698095
4070,E01002693,Hounslow 029D,1694,20.5,38.4,13.0,499225,36,3.4,12.5,5.2,205,47089,80.0,472.25501770956316
4071,E01032573,Hounslow 029E,1614,23.1,39.5,14.2,602111,43,3.6,6.0,5.3,160,51505,105.0,650.5576208178438
4072,E01003006,Kingston upon Thames 001A,1500,32.1,32.3,12.4,539950,19,3.9,11.9,2.6,255,48372,7.0,46.66666666666667
4073,E01003007,Kingston upon Thames 001B,1513,20.3,23.9,8.7,595500,24,3.5,11.3,2.3,350,48423,8.0,52.875082617316586
4074,E01003008,Kingston upon Thames 001C,1432,20.1,22.0,5.3,596475,20,2.5,11.5,2.2,285,54103,5.0,34.91620111731844
4075,E01003009,Kingston upon Thames 001D,1895,30.3,23.1,8.2,370975,40,4.0,10.5,1.9,415,43361,4.0,21.108179419525065
4076,E01003010,Kingston upon Thames 001E,1497,30.2,18.8,5.2,1050000,13,3.9,8.3,2.2,230,58868,5.0,33.4001336005344
4077,E01002952,Kingston upon Thames 002A,1541,142.3,43.7,15.0,2000000,26,2.7,7.8,1.9,170,75477,9.0,58.40363400389357
4078,E01002953,Kingston upon Thames 002B,1308,117.0,41.3,15.9,680000,21,2.9,9.3,1.9,160,57838,20.0,152.9051987767584
4079,E01002955,Kingston upon Thames 002C,1377,49.4,40.5,14.4,493300,23,4.6,13.8,2.4,240,37995,10.0,72.62164124909224
4080,E01002956,Kingston upon Thames 002D,1611,64.0,39.5,17.2,891250,14,2.1,11.6,2.0,185,52944,9.0,55.865921787709496
4081,E01002959,Kingston upon Thames 002E,1433,42.9,35.1,11.5,825000,17,3.9,7.2,2.0,185,65689,1.0,6.978367062107466
4082,E01002935,Kingston upon Thames 003A,1770,18.6,32.4,13.5,307500,43,3.4,6.5,4.6,265,39747,30.0,169.4915254237288
4083,E01002938,Kingston upon Thames 003B,1935,23.7,21.6,6.9,578750,34,3.4,9.0,2.3,390,51296,6.0,31.007751937984494
4084,E01002951,Kingston upon Thames 003C,1514,22.3,35.3,15.2,357500,30,5.5,4.7,2.8,235,49780,5.0,33.02509907529723
4085,E01002954,Kingston upon Thames 003D,1289,23.0,42.8,21.1,283000,29,4.6,13.9,4.4,225,35882,27.0,209.4647013188518
4086,E01002957,Kingston upon Thames 003E,1717,22.9,41.4,19.4,248562,18,7.0,13.7,2.3,410,27577,8.0,46.592894583576005
4087,E01002933,Kingston upon Thames 004A,1995,16.4,21.5,6.8,652500,25,6.0,17.1,3.3,410,36147,10.0,50.125313283208015
4088,E01002934,Kingston upon Thames 004B,1821,20.7,22.1,7.6,876000,13,3.2,8.3,2.3,390,54353,11.0,60.406370126304225
4089,E01002937,Kingston upon Thames 004D,1729,15.0,19.6,4.8,562000,35,3.1,10.0,4.5,305,51197,4.0,23.13475997686524
4090,E01003011,Kingston upon Thames 004E,1741,25.2,23.6,6.2,481100,35,4.5,7.9,2.6,275,48880,19.0,109.13268236645607
4091,E01033568,Kingston upon Thames 004F,1461,13.0,44.6,21.3,415000,204,4.5,4.9,6.4,240,38979,23.0,157.42642026009582
4092,E01033569,Kingston upon Thames 004G,1662,16.7,35.3,15.9,375000,43,3.4,6.0,5.7,270,41573,48.0,288.8086642599278
4093,E01002964,Kingston upon Thames 005A,2231,31.4,29.4,10.0,387500,46,4.3,12.8,3.9,305,30823,117.0,524.4285073957866
4094,E01002969,Kingston upon Thames 005B,1748,6.9,39.6,23.3,156250,12,12.1,29.4,2.8,495,20510,16.0,91.53318077803203
4095,E01002971,Kingston upon Thames 005C,1709,31.8,27.7,9.8,385000,34,3.8,11.5,3.1,340,35316,22.0,128.73025160912815
4096,E01002972,Kingston upon Thames 005D,1809,16.7,33.2,13.6,327250,46,5.7,12.0,5.7,240,32510,28.0,154.78164731896075
4097,E01002974,Kingston upon Thames 005E,1893,20.9,30.9,15.0,559000,35,4.8,12.4,4.6,365,35771,17.0,89.80454305335446
4098,E01002932,Kingston upon Thames 006A,1757,23.1,33.0,18.4,284000,19,9.8,19.6,2.3,500,28071,13.0,73.98975526465566
4099,E01002960,Kingston upon Thames 006B,1627,26.4,36.7,13.6,634000,16,3.0,9.9,3.0,280,48093,14.0,86.04794099569762
4100,E01002962,Kingston upon Thames 006C,1528,24.4,35.0,16.6,419950,15,6.9,20.9,1.8,325,32418,3.0,19.63350785340314
4101,E01002970,Kingston upon Thames 006D,1576,28.6,35.9,18.1,322500,28,7.7,22.1,2.7,335,27734,11.0,69.79695431472081
4102,E01002973,Kingston upon Thames 006E,1372,29.8,38.6,20.9,350000,11,8.7,21.4,2.3,435,27784,14.0,102.0408163265306
4103,E01002929,Kingston upon Thames 007A,1633,60.0,25.0,10.4,749950,29,3.9,7.7,3.0,245,53284,16.0,97.97917942437232
4104,E01002930,Kingston upon Thames 007B,1709,26.7,37.1,19.5,450000,27,4.7,17.3,4.0,305,35165,108.0,631.9485078993564
4105,E01002931,Kingston upon Thames 007C,1850,30.7,31.7,13.9,531000,22,3.8,11.2,3.4,375,44525,24.0,129.7297297297297
4106,E01002963,Kingston upon Thames 007D,1732,18.7,39.4,21.4,307500,40,4.8,12.1,3.1,325,36103,11.0,63.510392609699764
4107,E01002985,Kingston upon Thames 007E,1662,17.2,48.4,28.0,395000,27,5.2,13.4,3.2,405,34124,8.0,48.13477737665463
4108,E01002927,Kingston upon Thames 008A,1556,22.1,32.5,12.7,437500,32,5.1,17.8,1.7,315,34903,6.0,38.56041131105398
4109,E01002928,Kingston upon Thames 008B,1604,25.5,35.2,20.5,286000,38,3.7,17.9,2.5,265,36355,13.0,81.04738154613466
4110,E01002958,Kingston upon Thames 008C,1680,18.5,23.5,8.8,480000,25,4.2,11.0,1.9,355,41775,3.0,17.857142857142858
4111,E01002961,Kingston upon Thames 008D,1750,33.8,31.4,9.9,559975,20,2.9,9.6,2.1,395,51647,6.0,34.285714285714285
4112,E01002986,Kingston upon Thames 008E,1273,43.9,33.9,13.8,438000,15,5.8,18.7,1.2,225,35913,7.0,54.988216810683426
4113,E01002965,Kingston upon Thames 009A,2325,34.9,33.6,12.6,330500,55,3.9,8.8,4.1,240,34279,41.0,176.34408602150538
4114,E01002967,Kingston upon Thames 009B,1858,19.7,29.5,8.1,380000,47,3.2,6.4,4.2,185,45794,15.0,80.73196986006458
4115,E01002968,Kingston upon Thames 009C,2631,55.6,41.6,20.4,555000,45,4.2,4.8,5.9,270,36269,997.0,3789.43367540859
4116,E01002990,Kingston upon Thames 009D,1680,16.9,30.2,10.9,390250,63,4.2,7.8,4.9,135,40550,11.0,65.47619047619048
4117,E01002991,Kingston upon Thames 009E,1613,22.8,27.1,9.9,575000,23,3.1,6.1,2.8,180,44970,7.0,43.39739615623063
4118,E01002922,Kingston upon Thames 010A,1632,31.7,22.2,7.2,370000,29,3.1,10.3,2.2,200,47367,2.0,12.254901960784313
